 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Subgrupo proced. e Ano/mês processamento
Período:Jan/2008-Ago/2020
"Subgrupo proced.";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"0201 Coleta de material";148242,56;386509,28;423951,77;1258460,14;719954,18;856476,06;831319,15;757163,31;852913,00;694002,59;745051,01;863239,82;883930,74;826056,22;872585,14;1104444,90;1122226,39;1034484,33;1160674,13;1195545,40;1054674,46;1160628,97;1141915,79;1279203,69;994510,32;1019011,23;1143638,93;1163510,24;1078775,13;1312138,42;1384037,54;1195649,34;1190240,50;1226679,41;1374992,81;1562766,42;1233207,16;1194893,05;1513213,64;1541909,12;1566894,66;1356315,39;1632524,88;1649721,62;1559737,31;1545672,17;1474969,82;1542070,24;1423257,90;1426438,10;1666423,14;1519603,87;1872662,46;1654471,91;1687457,93;1568385,64;1716324,71;1729020,50;1632262,01;1663740,75;812189,26;522219,06;423772,51;402421,59;335819,06;362359,28;340829,76;396960,54;349972,17;384070,99;377154,07;327542,49;331137,17;299813,20;310218,39;411277,58;434519,39;444659,88;376665,37;458681,58;375040,68;515272,52;396743,15;396311,56;389316,36;400897,67;383711,57;494345,33;436471,87;457272,77;468003,65;465435,33;494738,87;448118,50;496902,63;398912,09;422234,04;414377,37;494183,62;498835,02;469423,76;523939,87;466127,58;512700,70;515655,51;492386,37;450951,74;549733,18;498201,28;419059,74;487330,25;592994,43;596865,37;481663,59;484863,71;535330,38;516333,91;590649,67;532483,78;545072,95;505127,90;436876,83;617002,94;517924,35;537798,41;476757,99;579118,82;549284,87;601670,40;650473,49;469225,85;526864,55;524646,67;566259,26;532948,24;564805,37;568245,05;480377,37;618674,87;584260,58;568663,76;579238,47;575131,84;546056,37;543810,13;478848,07;596820,30;479213,66;461771,49;488881,59;467823,19;463434,21;117759993,90
"0209 Diagnóstico por endoscopia";22203,18;37056,30;44837,40;87563,46;66468,34;98587,55;165573,35;124048,46;100762,12;97768,59;88515,83;123221,90;151093,51;96977,51;142974,73;169448,78;184745,78;214806,80;337869,98;196310,45;210407,45;212274,35;272604,66;228147,58;232470,47;160413,82;263112,65;243867,54;208812,84;282295,53;229055,43;329405,74;271467,31;216229,79;212242,47;249864,59;218214,38;224764,87;250128,04;222557,65;360304,85;293288,57;369861,06;255593,50;328105,86;398121,88;256917,26;329568,85;278011,04;280386,13;439536,52;264634,18;389026,04;338963,68;457324,59;310890,64;324880,09;334291,91;373115,96;358574,44;339445,98;242261,87;256029,91;414229,11;383845,82;435309,50;504583,01;402897,18;583187,62;509256,27;497160,01;411274,28;417333,88;329587,60;464350,23;430882,37;469932,73;505163,84;508565,34;500793,29;499487,03;642865,03;508624,45;479493,68;618554,95;590650,21;743941,31;750374,45;639863,50;736278,92;636614,19;1138377,86;1172693,02;1102121,88;1013799,33;865310,95;750609,18;870740,61;906408,82;847967,14;912614,93;972944,64;1106287,15;928518,75;872378,98;837366,08;798906,50;879508,28;939527,31;855246,38;900299,71;789457,18;851254,64;776359,32;837168,09;915366,72;873028,78;950132,99;823539,28;973057,57;1008177,41;828996,72;960853,03;945069,70;966168,81;992773,95;1171160,46;1185774,46;1066029,25;1024112,78;911388,29;968967,19;1093171,43;1024462,40;1135383,23;1153824,12;1128144,53;1151129,33;1338949,43;1492400,05;1252778,32;1234458,60;1123644,87;1374103,73;1200688,64;1339189,81;1153851,18;1030762,97;1174653,76;1053802,08;1052694,40;965504,25;91447467,04
"0211 Métodos diagnósticos em especialidades";15349,35;221700,72;106151,27;178505,07;352738,32;198875,87;259132,45;227258,80;233469,32;252261,94;185980,83;156678,76;210298,93;143915,46;190882,04;157522,86;220113,49;230546,62;295025,67;228764,17;237752,62;215940,85;251977,61;279203,55;228993,94;253689,38;254795,13;277097,49;287854,50;221567,86;217273,66;294470,82;297366,50;246128,27;234046,98;260999,76;191967,59;231695,97;270424,96;236689,83;260976,02;236599,05;248484,58;222273,85;303666,33;308740,26;265277,24;268523,10;199201,55;251183,73;312016,20;256012,74;280175,77;237112,82;293422,66;249699,40;277428,90;256118,31;288914,13;214412,92;261216,13;239111,51;286363,47;299658,70;345030,93;294493,85;340082,23;346102,77;317689,85;289715,91;299298,95;288752,38;269434,97;278275,82;261077,30;282359,46;311968,84;233486,05;355907,17;364190,97;350273,39;308025,30;326122,99;306895,84;302704,72;303974,41;386689,25;341038,80;369888,91;333455,24;347406,62;436701,13;357944,75;359390,31;397219,78;345880,11;368475,89;362698,13;402403,78;472122,75;416921,35;435243,70;452745,85;427960,49;454509,10;417395,64;489549,90;340670,80;387512,13;368942,93;451594,48;432297,16;485113,57;435543,12;455392,17;477544,06;477205,02;493100,44;496027,44;377516,86;381319,78;443387,84;409154,48;488182,19;444761,90;423178,25;447559,40;507347,80;391540,99;541069,61;471065,73;408079,26;477083,76;502070,57;508049,36;459521,70;466863,40;523922,35;454060,01;581405,62;492733,91;594324,96;495275,59;487804,43;424354,67;491335,14;344146,90;205061,36;179493,87;109657,37;130042,98;190586,93;49676106,45
"0301 Consultas / Atendimentos / Acompanhamentos";1138526,22;1630607,92;1785336,13;1892958,42;2083659,89;2025900,31;1912378,62;1990777,37;2023196,01;1961580,02;1945347,23;1970289,99;1756178,06;1906994,96;2191576,85;1978347,30;2098961,06;2135102,71;2148024,25;2227067,86;2152992,64;2184784,76;2301913,90;2221671,86;2361753,24;2274440,48;2442928,29;2528906,79;2568605,91;2476734,09;2736205,04;2572258,00;2677201,03;2696806,69;2613442,47;2761028,23;2749502,66;2459135,17;2629031,96;2887775,30;2842057,06;2633862,74;2837169,67;2849484,82;3013198,54;3002704,03;3248746,44;3285617,76;2825530,06;2857405,16;2969606,18;2948015,50;2783000,88;2624074,45;2798826,28;3081650,22;3036631,45;2730673,05;2826509,17;2672897,09;2826459,20;2415959,20;2729125,07;2814762,94;2643535,84;2859810,39;3017519,23;3123284,88;3147466,80;3410106,19;3071635,30;3159238,86;3165388,43;2916292,39;3021322,46;2984631,30;3458682,32;3279267,93;3582244,01;3440080,17;3943813,10;3535564,30;3564195,60;3312111,14;3995172,26;3319326,63;3795904,23;3824587,97;3467453,32;3389608,60;3713825,83;3746584,89;3796658,53;3972323,21;3759283,47;3816171,00;4024750,12;3643218,06;4130869,28;4112425,48;3947068,36;4182300,87;4286666,30;4075605,53;4425573,78;4145163,09;4061861,07;4098166,01;4302558,14;3988052,14;4234902,72;4090854,06;4493589,00;4150994,71;4280446,44;4465148,07;4505264,66;4357699,64;4562553,97;4299602,48;4311984,58;4212315,47;4352811,46;4265120,50;3793594,80;3562668,69;4025050,54;3832785,42;3505161,17;3695544,12;3315800,47;3183652,97;3895652,33;3761812,11;3699678,66;3590902,95;3760233,11;3439317,31;3615791,90;3880342,37;3706328,05;3733526,46;3485914,42;3816454,37;3807424,76;4114846,20;3559070,26;3141417,10;3246284,68;3270906,57;3700861,13;3638951,16;486774527,30
"0303 Tratamentos clínicos (outras especialidades)";186621730,24;247622118,48;270200018,88;281833382,72;295495317,55;307247697,79;309556078,43;303369991,43;299795951,97;294175374,00;259402268,22;311982848,40;311730326,64;305931204,54;340857961,51;340477983,81;359695377,59;351894457,03;357603750,33;369205682,97;357153068,61;355209834,14;353202075,34;337711537,18;357758327,40;333082157,64;363667369,43;367291359,56;369236998,86;363862157,78;371133705,35;375756055,58;369956959,76;365979272,71;369746926,54;365290490,78;366037820,58;352041501,40;374266145,12;376632933,41;376100155,59;370165038,44;385028001,38;370904897,12;375085748,13;376267876,11;369374203,09;365317975,52;355513000,60;353602645,41;377977327,88;371354224,88;392876935,72;390306922,71;396032465,80;391927229,73;372025199,25;375770515,21;361958336,42;345882095,95;369302994,61;362584054,39;373451537,38;388669247,22;403491978,01;388898959,59;408683177,59;407142609,80;390820417,85;393279066,75;374193205,79;364625133,23;392374183,24;368723708,40;377097675,00;377781150,31;407026998,29;402690165,12;415650591,57;412045951,59;405577816,49;401797527,04;387195658,42;375472571,39;395950467,66;376536785,36;402318348,29;412796701,30;418985114,38;417476004,65;427340699,37;418938331,99;410872088,90;401686430,04;398610025,59;388813886,13;395700702,28;393643031,64;412421251,80;414058960,60;421375441,03;429626058,71;427202056,95;437327427,20;411262602,56;407864284,82;394464802,74;397508517,45;405484874,11;384378686,08;427280299,04;409195688,77;440640069,24;425981189,88;438924268,69;435944068,30;420239206,44;428302152,90;418862335,26;404482065,28;423131209,71;398903533,89;426889543,68;433297672,45;446243070,40;448475651,20;458351315,77;451539938,13;434288620,75;441397120,67;420734270,38;413329380,65;450500672,73;414632790,13;443793861,73;454810598,79;476833257,13;459335230,10;474301078,65;475284168,39;459129159,55;465392779,40;443104713,01;435569611,69;462105836,15;441105845,76;446176491,84;410440239,63;512026566,53;614070097,61;765301729,03;759589682,81;60084344057,48
"0304 Tratamento em oncologia";4547178,80;7244230,85;8453321,76;8147415,60;8516857,21;9908681,44;9743160,55;9677116,39;9675084,02;9334744,72;8843550,33;10275677,21;10455814,33;10114468,18;11828356,46;11590693,03;11779949,76;11513784,71;12340457,60;12354993,28;11463421,09;12170772,37;12193897,81;12234508,09;12649920,46;12255170,56;13045680,04;12995746,09;12858552,17;12246234,12;13161282,38;12927611,11;9126494,38;10139566,70;12225324,80;13165496,62;13712181,34;12443017,41;13702442,81;13708292,04;13809827,81;13575504,10;15277545,79;14749155,26;14976971,25;15027688,54;15182347,62;15549223,61;15302755,89;14796620,83;16204862,78;15999118,92;16627924,89;16187063,27;16521637,79;16197313,82;16073328,44;16406255,01;17144595,52;16232267,63;18835363,90;17467579,19;18949393,57;19522128,06;21067211,32;19324033,14;21132154,11;21403062,50;20646659,83;21617002,88;20229865,43;20425600,01;21462733,12;20779707,88;20737516,28;20493823,21;22511872,85;20926361,76;22775618,89;21755170,74;23549557,61;23303224,00;22800049,11;21812323,14;23283255,85;22860476,46;23663639,43;24171792,65;23768103,14;22909211,92;24603138,22;24404960,29;25253968,07;25061317,89;24534067,17;24294367,79;25062315,00;24204114,23;24410438,40;24594301,52;24721518,53;25210034,78;24610971,28;25456542,07;24580358,54;24814729,59;25101224,00;26845459,96;26783933,28;25591262,17;26309153,82;24814361,73;26960485,04;26385657,39;26658179,45;27126417,38;26801749,13;26556743,52;27309851,32;26821932,03;28084500,92;26259262,94;27231570,87;28128504,40;27929778,13;27491469,25;27762702,10;28606617,29;27915624,40;28026066,21;27910379,89;27026860,51;30497355,03;27458807,92;29165866,24;28912184,74;29699811,08;27600542,10;29452604,33;29642510,98;28954522,31;29985756,92;29646017,75;29455345,64;32641009,08;29936661,68;30064107,32;27107714,16;26745045,65;27094181,63;27709901,78;26845420,18;3077669906,39
"0305 Tratamento em nefrologia";5412577,77;7763962,07;8134928,62;7819052,16;8136628,70;9031934,21;8705576,74;9129252,38;9247954,07;8786727,82;7813961,52;9670006,42;10063527,68;10518832,44;11517246,72;11001533,75;10877477,90;10783600,27;11063291,45;10549420,66;10325972,75;11259638,22;11128864,97;10962514,54;11509084,90;11349750,28;11509870,17;11242779,26;11015160,10;11036945,45;10894247,34;11293558,24;11183041,72;11092816,21;11405422,33;11461626,06;11522406,42;11259531,87;11717790,09;11591700,95;11350325,75;11021716,74;11868322,12;11710571,47;11990316,75;12150805,77;12342834,69;11975470,75;12242146,31;12034473,99;12423592,78;12159732,47;12837040,65;11693967,24;11830718,30;12535096,12;11991846,73;12145438,77;12132053,99;11789280,44;13383074,15;12690611,28;12784885,46;12901440,94;12815912,61;12350183,08;13022153,25;13371013,05;13112420,30;13383866,84;13325973,30;12920722,74;15160392,65;14416661,43;15057147,89;14676386,93;15366740,08;14352386,95;16112632,99;16099188,56;16024696,20;15870240,85;15407355,48;15492890,59;16916742,08;16627397,86;16050678,86;16420700,69;16506961,24;17190602,64;17440470,26;17836563,22;17811384,04;17005349,65;17443784,64;16571059,22;17337660,97;18014559,22;18984182,47;18194306,02;17620566,28;17927487,16;17877184,81;17435879,55;17802927,11;17486088,25;17925648,87;18974849,16;19819142,56;18444006,15;19862718,08;18649951,89;19236887,89;18197206,56;18639034,12;19848371,71;19257782,39;19568939,57;19814493,29;19221516,14;21280338,50;20501920,34;20541889,99;20705265,46;21149540,94;20196509,04;21031400,84;22269756,65;20812643,19;22446648,18;20599179,00;19474859,53;23105409,29;21072333,91;22808270,24;22489282,52;22446896,19;20777516,52;22915992,53;22428811,60;22886549,73;23907888,18;22321720,66;22561341,06;24152730,51;23206272,06;22428198,04;19353476,52;18303730,85;17801470,10;17695323,30;17916368,93;2322667563,67
"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";1736530,84;2539625,24;3001191,75;2885201,00;2768494,29;3031713,21;3210517,34;2955362,68;3019775,64;3178675,29;3064124,28;3675813,50;4014889,97;4265819,72;4715774,51;4217537,94;4071044,70;3980641,86;4039729,02;4090267,72;3881201,45;4208595,50;4341752,79;4459534,26;4990615,38;4548281,72;4895448,64;4961441,64;5131556,03;4930227,28;4928773,77;5085644,14;4775920,18;4689365,43;5460881,00;5695228,80;5451526,32;5281060,54;5542836,41;5551025,24;5291720,48;4937354,34;5515144,62;5409256,72;5631937,09;5694134,25;5845934,12;6148576,16;5763116,63;5756344,68;6276906,86;6006346,50;6480570,84;5814304,74;5562494,73;5892371,61;5720157,60;6052875,37;6076710,10;6016987,34;6756315,03;6462946,49;6803383,35;7133212,46;7320795,01;6308587,09;6538879,28;7043724,47;6757510,39;7065099,65;6864395,54;6723825,32;7989726,33;7252318,73;7340141,14;7098727,81;7643789,94;7132089,77;7675172,54;7778555,91;7362415,39;7624411,76;7716259,92;7428424,49;8123403,02;8218987,06;7653978,52;7749118,23;7831950,06;7589112,05;7968852,93;7773587,15;7780087,02;8372502,65;8145927,39;8282949,34;8875865,22;8207577,23;8153727,93;7838777,30;8063960,03;7720877,11;8313093,38;8686685,86;8419684,68;8721433,05;8946438,64;8746695,98;9829060,74;9286176,04;9550802,52;8782290,92;9511695,16;8800436,31;8711346,12;8714680,61;8712019,44;9600490,84;9523303,71;9603401,85;10109180,14;9227688,64;9814045,11;9587211,06;9891543,60;9470397,07;9746846,57;10059872,73;9611071,77;10015879,17;10366110,73;9799042,47;11315158,81;10022848,53;10728899,28;10531778,88;11228436,57;10504725,35;11857765,30;11086202,39;10971878,38;11972214,68;11535723,42;11911840,59;12620681,36;12143743,05;11400397,55;9256139,70;9442729,67;8660044,94;9515926,38;9398173,91;1095602773,50
"0310 Parto e nascimento";39088020,97;48989953,43;52268879,90;53342162,58;56767402,51;57577874,57;56733507,23;54609885,92;54788531,16;53396780,47;46522844,45;57771993,85;58391570,84;56924213,28;65009492,29;62723881,03;63938699,47;61835428,40;60345489,59;57760101,86;60330555,80;57776528,73;56227711,86;53605893,06;58115366,36;56503140,88;61115227,88;60811662,84;60511985,50;58930380,00;59301109,87;56685870,24;54809605,74;55073116,70;54007121,23;51462464,50;55962380,69;54371141,25;60532271,13;59325872,55;58372016,40;58982906,57;58945818,20;55024796,31;54130313,18;51584522,78;51163847,60;50801933,79;53118588,97;52919905,83;57468430,86;55960913,48;56681770,36;54816609,42;53919143,91;52385386,79;50422875,90;50669805,87;49942947,39;47672313,17;53957346,86;50194348,71;52721959,89;55203002,54;55740852,04;54310813,07;54996584,80;53692367,11;52200421,34;50871132,64;48768905,78;47152594,38;51871441,98;50086585,39;54029623,67;53604259,39;56969643,49;53967848,22;56004560,49;53743286,86;53242718,62;52658884,59;50689632,90;49282367,29;56646525,80;53294695,05;58388135,77;58455635,40;59544270,65;58264000,84;58276002,50;55919418,64;55917449,86;54213397,66;53118238,80;51608544,57;55832184,15;54659545,75;57534603,18;57462673,45;59305713,68;56843615,47;55206598,35;54073404,99;51615341,80;49589683,49;47787452,70;48035634,02;51320022,33;50199214,94;57336936,91;56231812,61;59832864,38;57618007,82;56725073,21;55554886,35;54474514,64;53190892,78;51917162,86;52267814,45;54921520,64;52641851,59;57061121,55;57916237,54;59516072,33;56368393,82;56860174,27;54333691,03;52535102,84;52502734,38;50776400,71;48753567,89;54927837,23;51360513,07;55497912,42;55169475,90;55807545,24;53080466,33;54125279,53;52985000,09;51949155,44;49800237,93;47156718,56;46129426,00;50628268,52;47126325,64;51011465,62;52319091,67;52714727,16;49820476,10;48206809,25;43754047,65;8261211767,23
"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";1500231,36;2431606,19;2606949,53;2654030,30;2836423,75;2998739,65;3120631,67;3032774,83;2985608,73;3134887,83;2922897,59;3119042,93;2424281,49;2723921,85;3185864,83;3176274,83;3146166,68;3269738,52;3374000,25;3388964,33;3358905,16;3375772,74;3441338,54;3017316,72;2764162,95;2986368,21;3287082,16;3308163,95;3392775,15;3182724,57;3247998,79;3513052,05;3258780,32;3101074,94;3170690,70;3139341,41;2812100,18;2863486,72;3065826,53;3170878,81;3213883,31;3230639,34;3523600,62;3427001,90;3409305,87;3300565,85;3202417,16;3140492,13;2856050,58;3010927,82;3211047,62;3183045,79;3499938,56;3344126,06;3300008,86;3502118,00;3227715,21;3163297,03;3184481,04;2825971,26;2812740,23;2873436,58;3117122,84;3310689,38;3277124,07;3397878,64;3381561,92;3480128,74;3402053,88;3643686,17;3465106,90;3101291,80;3156632,93;3403733,56;3183717,04;3325129,79;3631797,03;3452648,73;3569180,25;3807095,85;3800458,84;3893406,14;3470637,80;3224411,95;2895741,93;3007017,57;3402694,94;3263911,40;3576634,64;3563274,97;3544801,57;3544976,47;3473081,45;3512797,16;3541009,39;3259667,67;2855960,89;2948608,89;3473691,63;3378571,27;3285409,07;3513357,75;3375055,82;3627391,81;3413678,97;3255352,75;3042488,99;3028337,30;2845539,07;2735650,87;3235847,60;2986259,14;3201980,51;3282546,40;3359733,05;3495007,38;3342163,09;3503073,86;3344674,15;3183776,16;3104873,74;3045443,48;3334194,87;3480454,15;3361134,90;3329424,84;3534843,08;3796047,90;3322977,48;3589282,28;3275361,87;2932804,17;3163459,94;3187205,44;3241889,50;3440175,77;3590523,58;3364410,83;3750811,79;3873046,17;3731627,18;4005497,15;3680840,81;3330381,86;3222708,38;3303919,49;2950988,67;1510711,17;1519032,07;1594790,17;1919496,43;2067603,74;486284911,29
