 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Subgrupo proced. e Unidade da Federação
Período:Jan/2008-Ago/2020
"Subgrupo proced.";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"0201 Coleta de material";229661,83;148123,27;296877,36;101259,67;417445,23;9958,79;547748,19;2482456,36;944310,46;5311524,25;996216,62;1913002,03;6494894,96;781886,79;214992,30;13853751,31;13375984,08;2361129,65;6564636,08;26294783,17;8191398,48;4731317,57;12667434,41;1315570,39;622913,79;3800049,40;3090667,46;117759993,90
"0209 Diagnóstico por endoscopia";3865,56;9360,76;52209,38;5519,43;282917,89;-;188246,25;27239,30;263121,87;120475,27;907605,99;88158,50;882545,43;523027,70;44429,79;1488585,61;16828469,24;503245,07;2102113,89;9319623,52;32197864,98;9049988,22;14591416,64;559548,76;58786,03;874751,37;474350,59;91447467,04
"0211 Métodos diagnósticos em especialidades";-;-;7066,00;-;21258,00;-;-;-;-;173268,37;58480,00;52938,00;1016106,76;183279,42;-;61988,83;2347805,98;318410,00;930210,26;23435347,65;12304948,21;724385,63;4292529,24;11151,41;-;3486428,40;250504,29;49676106,45
"0301 Consultas / Atendimentos / Acompanhamentos";4488459,10;1479177,56;2740352,70;1862724,32;5895020,25;755367,22;747943,65;1630336,21;3033639,40;30778145,78;17663861,94;3290762,11;16732889,60;1606595,69;3071473,02;19700172,91;39639668,66;7156066,64;23994734,80;141328461,38;68578198,26;16140868,43;20220904,65;5003162,96;7101462,08;10124381,38;32009696,60;486774527,30
"0303 Tratamentos clínicos (outras especialidades)";481753408,45;142207828,52;667680478,69;136128954,69;1772577871,05;93607853,85;385881472,92;1598786016,63;838335527,08;2114698375,20;745310929,57;1017285660,58;2941524051,54;851801993,30;421756753,68;3508989084,55;7420635229,88;1054789149,48;4116613358,96;14450317186,40;4479525797,82;2290820357,46;4289659523,52;757066040,11;868053343,85;1778540919,19;859996890,50;60084344057,47
"0304 Tratamento em oncologia";10393294,29;4181629,48;14490777,74;2280917,44;49644254,14;2213341,04;16719169,59;52104967,20;56937172,24;64009115,77;56313672,41;50039703,81;201771541,14;47074596,38;11127976,24;146238995,92;431552762,40;79805666,48;167755567,58;723985525,75;260681790,89;171050977,87;297777727,59;34470978,93;36548051,01;41561203,26;46938529,80;3077669906,39
"0305 Tratamento em nefrologia";19217887,18;7222657,40;17717430,02;4174460,67;81866983,03;3078387,19;19228782,91;50798921,24;26961152,44;72212503,46;20134312,53;28808152,53;105230247,77;31247453,92;19687183,54;146707268,82;339666268,63;44045881,28;175424473,51;536178904,88;153867778,17;88898364,60;147497252,54;37999345,68;40824692,04;66489663,91;37481153,78;2322667563,67
"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";17919180,50;8795434,41;14412221,80;6981737,01;39493329,49;2292974,16;11905005,14;30171114,21;11628992,75;48625090,71;13051952,07;11309698,10;59063966,33;15166835,65;7845061,56;62586044,52;126273793,88;20022599,38;62948161,08;239822374,59;71204492,86;40968328,80;62728355,38;13339409,72;27026851,50;34346617,23;35673150,67;1095602773,50
"0310 Parto e nascimento";60201550,92;57478060,40;256032162,70;45762881,96;423509095,29;64228175,40;79464165,57;425409471,52;152704783,75;362194380,78;134403151,63;169222102,52;464230536,02;162268579,75;132922094,47;712359969,05;765074338,01;124729965,23;579483810,96;1498939797,94;396048162,10;259954286,29;352217583,52;102838987,23;137264105,04;156004221,53;186265347,65;8261211767,23
"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";2614601,10;529781,42;2799546,82;417972,59;14714816,43;360889,59;2452402,32;16346304,24;3933352,44;21736989,09;11031128,63;5438653,44;20272898,20;15329304,92;3980919,50;34594339,30;53459627,74;7449102,98;27026595,29;135621796,96;31550712,26;14678519,37;35890952,58;4149935,68;5685115,71;8313094,99;5905557,70;486284911,29
