 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Unidade da Federação e Grupo procedimento
Período:Jan/2008-Ago/2020
"Unidade da Federação";"02 Procedimentos com finalidade diagnóstica";"03 Procedimentos clínicos";"04 Procedimentos cirúrgicos";"05 Transplantes de orgãos, tecidos e células";"Total"
"11 Rondônia";4598;4297889;1567177;3290;5872954
"12 Acre";4388;2048890;817469;6211;2876958
"13 Amazonas";3675;7382512;3379003;4954;10770144
"14 Roraima";1046;1793588;503819;3;2298456
"15 Pará";8030;16768579;7368305;52846;24197760
"16 Amapá";182;1665573;665810;-;2331565
"17 Tocantins";4735;3676220;1733845;114;5414914
"21 Maranhão";7234;17761218;5810057;20396;23598905
"22 Piauí";6442;8744770;3503312;27119;12281643
"23 Ceará";19332;23200708;9425741;219861;32865642
"24 Rio Grande do Norte";3671;8762481;3270598;68599;12105349
"25 Paraíba";6982;10151425;3460526;15252;13634185
"26 Pernambuco";29249;29284575;10019042;391285;39724151
"27 Alagoas";4356;9205737;2475219;12610;11697922
"28 Sergipe";3907;4302778;1735753;1093;6043531
"29 Bahia";33944;36176816;11942415;83842;48237017
"31 Minas Gerais";143813;59836385;20755696;468396;81204290
"32 Espírito Santo";15462;10260165;4364039;53204;14692870
"33 Rio de Janeiro";64795;55278567;15975110;230755;71549227
"35 São Paulo";260618;143605479;43820501;2215175;189901773
"41 Paraná";98160;34603350;12525762;371572;47598844
"42 Santa Catarina";66893;19528000;8233563;209970;28038426
"43 Rio Grande do Sul";165098;41512262;14243375;664169;56584904
"50 Mato Grosso do Sul";7948;6600192;3127952;19687;9755779
"51 Mato Grosso";4524;7310736;3075755;1580;10392595
"52 Goiás";25883;16464581;5323113;65127;21878704
"53 Distrito Federal";21011;10993999;4336428;77189;15428627
"Total";1015976;591217475;203459385;5284299;800977135
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
